"hh_refno","Maize_yield","phosphorous","sulfur","pH","Clay","Ca","Mg","K","C_capacity","Al_exc","Al_sat","Mg_indicator","K_indicator","P_indicator","S_indicator","Ca_indicator","farmproc_ph_indicator","soil_fertility_indicator","C_deficit_indicator","N_PNB","P_PNB","K_PNB","N_added","P_added","K_added","N_PNBI","P_PNBI","K_PNBI","all_PNBI","lands_eplot","landscape_no","eplot_no","Carbon_storage","Water_storage","Nutrient_supply"
"TZA-L11-H09",1816.22175,3.816068333,10.70941833,6.262165,66.88694133,6.847521833,3.34528868,0.863529512,39.0316836391387,0.275440533,2.43069067204575,0.04304923776,0.167,0,0.095347286111,0.155120698656,0.167,0.627517222527,0,30.7489225166667,-7.446509175,-8.7178644,61.2614479166667,0,0,0.213900860925926,0.278966462777778,0.333,0.825867323703704,"L11 _ 13","L11",13,0.153390693194213,0.57213458368154,0.164504317631713
"TZA-L11-H10",4336.69275,2.249133333,27.04931867,5.054134,81.27977533,2.3655268,1.120747733,0.326672871,31.6544370517991,1.231264,24.4094448346004,0,0.04053531872,0,0.167,0.0116968576,0.0925403780000001,0.31177255432,0,-6.39515509174298,-14.5055196938462,-17.7209640023077,53.6718886313339,0,0,0.237783081550672,0.167292456666667,0.272951644444444,0.678027182661783,"L11 _ 5","L11",5,0.0631744427920034,0.637022311486453,0.539567070866717
"TZA-L11-H11",1194.228,3.008707667,19.62998933,6.073019,73.31422833,2.3394688,1.464038128,0.330137999,25.1865289615937,0.457023833,9.95549574350034,0,0.04164415968,0,0.167,0.0108630016,0.167,0.38650716128,0,12.0423250438398,-7.52611228571428,-8.81105828571429,42.8810290438398,0,0,0.28617898526749,0.244069685925926,0.333,0.863248671193416,"L11 _ 11","L11",11,0.0730662689541929,0.636693079748333,0.470933993298419
"TZA-L11-H12",1368.58153846154,3.38561,6.861883,6.631077,52.73100367,6.385156833,2.501609865,0.358619412,44.9057171085508,0.208398933,2.20439677919595,0.01605151568,0.05075821184,0,0.0310934461,0.140325018656,0.167,0.405228192276,0,20.7264070769231,-5.61118430769231,-6.56919138461538,43.7185769230769,0,0,0.325262143589744,0.31975145982906,0.333,0.978013603418803,"L11 _ 14","L11",14,0.145014923445238,0.595391510707928,0.397064878333146
"TZA-L11-H13",1976.84,4.357115333,14.56574733,5.891212667,73.61724633,3.720203467,2.406541087,0.381766907,35.6175904237291,0.444817533,6.39718807184057,0.013009314784,0.05816541024,0,0.159747980411,0.055046510944,0.167,0.452969216379,0,27.4027678095238,4.918970972,12.5176215188095,49.0915266666667,9.47982325771429,18.7305472330952,0.249627024338624,0.244032595860317,0.333,0.826659620198942,"L11 _ 5","L11",5,0.0631744427920034,0.637022311486453,0.539567070866717
"TZA-L11-H14",2965.26,4.674477,12.463304,5.689541,71.989302,3.524439633,1.394256622,0.421013074,44.8610768122517,0.272869433,4.86174795171632,0,0.07072418368,0,0.1246371768,0.048782068256,0.167,0.411143428736,0,-19.1012165,-12.410848625,-14.529774,31.7529925,0,0,0.202114877777778,0.168647808333333,0.333,0.703762686111111,"L11 _ 11","L11",11,0.0730662689541929,0.636693079748333,0.470933993298419
"TZA-L11-H15",4447.89,5.627568667,11.20173233,6.188591,62.73220367,4.897083567,1.787615775,0.33040221,44.2375550522885,0.244612867,3.36945577858825,0,0.0417287072,0.0047047100689,0.103568929911,0.092706674144,0.167,0.4097090213239,0,-70.3119627142857,19.4915247309524,-14.0392411577381,4.41258928571429,37.7278737309524,7.3106308422619,0,0.0112994504232804,0.333,0.34429945042328,"L11 _ 8","L11",8,0.0709285962347042,0.608582083991594,0.653640996294048
"TZA-L11-H16",1572.48636363636,2.872780667,9.557565,6.157960333,64.80200833,4.588899233,1.716188821,0.288533855,37.7823157533648,0.257125833,3.75325209281367,0,0.0283308336,0,0.0761113355,0.082844775456,0.167,0.354286944556,0,55.5761609090909,-6.44719409090909,-7.54793454545455,81.9939318181818,0,0,0,0.301173464646465,0.333,0.634173464646465,"L11 _ 8","L11",8,0.0709285962347042,0.608582083991594,0.653640996294048
"TZA-L11-H17",1742.74052631579,6.876657667,13.488365,6.098021667,69.94537067,5.369192,2.527533994,0.586260866,63.9555461392695,0.365227267,4.12769471621988,0.016881087808,0.12360347712,0.0130736063689,0.1417556955,0.107814144,0.167,0.5701280107969,0.465184654790496,2.3904157368421,-7.14523615789474,-8.36515452631579,31.6684565789474,0,0,0.333,0.28566141871345,0.333,0.95166141871345,"L11 _ 12","L11",12,0.45941420528363,0.652974413722681,0.253279276285118
"TZA-L11-H18",1345.34944444444,7.793417333,16.83296367,5.886411667,66.24301233,3.3132511,1.171303209,0.408148528,36.4087587472488,0.390188867,7.38589562047172,0,0.06660752896,0.0192158961311,0.167,0.0420240352,0.167,0.4618474602911,0,27.5055321111111,-5.51593272222222,-6.45767733333333,50.1074027777778,0,0,0.249938532098765,0.321868161728395,0.333,0.90480669382716,"L11 _ 13","L11",13,0.153390693194213,0.57213458368154,0.164504317631713
